  1      LUNA (USES LUNA RANGER STATION)
       1       1
   33.49
    2015  2.72  0.23  0.96  0.38  0.16  0.56  1.30  2.51  2.99  0.67  0.10  0.00
    2016  1.64  0.00  0.21  0.36  0.90  0.56  2.55  4.23  6.48  0.45  0.60  2.90
    2017  0.98  1.59  0.00  0.00  0.31  0.17  6.30  2.14  0.15  0.30  0.00  0.08
    2018  1.00  2.28  0.45  0.00  0.03  0.61  4.45  2.52  3.26  2.09  0.00  1.38
    2019  1.02  1.25  1.67  0.26  0.37  0.00  1.86  3.14  1.91  0.39  3.43  2.06
    2020  1.31  1.55  2.42  0.12  0.16  0.00  1.17  0.75  0.83  0.62  0.65  0.70
    2021  0.39  0.26  0.30  0.37  0.09  0.39  2.95  2.01  2.07  0.42  0.06  1.64
    2022  0.92  0.34  0.30  0.00  0.00  2.92  3.31  5.30  1.87  2.68  0.35  1.97
    2023  1.68  0.93  1.18  0.00  0.59  0.07  0.95  2.69  1.20  0.35  0.64  1.27
    2024  1.30  1.29  2.31  0.34  0.11  0.84  3.05  1.89  0.55  0.64  0.60  0.00
   32.77   36.66
    1968  20.4  36.9  41.2  47.7  54.1  64.3  67.4  62.7  58.0  51.0  37.5  26.5
    1969  34.1  34.7  35.1  47.7  55.7  63.7  69.6  69.3  60.9  49.6  37.1  36.7
    1970  27.3  37.5  37.5  42.4  55.6  62.1  70.4  67.3  60.6  45.3  42.0  30.6
    1971  30.2  34.3  40.2  44.9  51.6  64.6  70.7  67.9  62.0  49.2  40.5  30.1
    1972  31.5  47.1  45.2  48.2  53.8  61.7  66.8  65.7  59.1  51.5  35.9  31.5
    1973  27.7  32.4  34.0  39.9  51.0  58.2  64.7  69.7  56.0  48.9  39.5  32.0
    1974  32.3  30.3  42.4  41.4  58.2  64.5  67.3  64.3  58.6  49.4  40.4  27.5
    1975  28.1  33.6  38.1  41.1  50.2  60.2  66.0  64.6  57.7  49.1  38.4  31.3
    1976  30.2  38.4  34.3  52.4  52.8  61.0  65.0  63.9  57.0  45.2  37.8  30.1
    1977  26.8  33.5  36.3  45.7  59.9  63.7  66.7  66.3  60.3  48.9  37.6  35.6
    1978  29.9  35.0  38.9  43.9  52.7  62.0  66.8  64.8  58.8  48.7  37.7  31.1
    1979  29.8  31.9  39.0  46.7  52.6  60.2  67.4  63.5  58.8  48.7  37.7  31.9
    1980  31.5  35.4  37.2  44.7  51.0  64.1  69.2  65.1  60.4  46.5  37.5  35.1
    1981  30.1  34.9  39.6  49.2  54.2  65.7  68.1  64.4  59.7  49.8  37.7  33.7
    1982  31.7  34.7  40.2  46.2  51.4  59.9  67.0  66.3  60.5  46.6  39.4  31.0
    1983  32.4  34.7  39.9  41.9  52.2  59.3  67.2  66.9  63.4  50.9  39.1  34.8
    1984  32.8  32.8  39.5  44.4  58.0  62.5  66.6  64.9  59.5  46.3  38.1  31.8
    1985  31.5  32.9  40.8  48.2  54.9  63.9  68.5  65.6  57.9  49.1  39.9  31.3
    1986  35.4  35.7  42.1  47.9  54.6  63.0  64.8  67.1  57.0  47.6  39.7  30.6
    1987  27.6  33.3  36.5  46.7  52.1  62.0  65.7  64.4  59.8  51.7  36.8  28.5
    1988  26.4  36.8  40.7  46.2  54.7  63.4  67.0  65.3  56.2  51.8  38.9  31.5
    1989  30.2  40.5  43.1  51.2  56.7  62.5  68.6  66.6  59.9  48.0  38.7  30.5
    1990  30.2  31.8  41.1  48.3  53.4  67.5  67.2  63.7  61.7  48.0  39.4  29.4
    1991  33.6  38.0  36.4  44.2  52.6  58.6  66.1  64.8  58.7  49.7  37.9  30.2
    1992  33.6  35.2  40.5  48.1  54.1  59.5  65.5  64.4  59.2  50.4  31.5  27.3
    1993  33.6  33.9  33.9  44.8  53.2  60.5  66.7  65.7  57.0  48.1  41.2  30.9
    1994  30.1  37.1  40.6  44.8  53.7  66.7  67.9  67.3  59.0  45.7  38.0  34.3
    1995  28.5  38.8  40.2  42.7  50.0  58.9  64.6  67.3  59.2  48.7  41.2  31.4
    1996  30.5  34.6  39.8  46.2  58.3  62.2  68.5  65.2  59.2  48.3  38.1  31.4
    1997  30.5  34.6  39.8  44.1  55.9  61.1  66.9  65.2  59.2  48.7  38.1  31.4
    1998  30.5  34.6  39.3  44.8  52.8  59.6  66.8  65.2  59.2  48.7  38.1  31.4
    1999  29.5  38.0  41.7  44.8  52.6  61.7  66.8  64.8  58.7  49.7  37.9  30.2
    2000  29.5  38.0  41.7  44.8  45.6  53.4  62.0  66.9  64.9  58.9  49.0  33.7
    2001  34.1  33.9  44.0  46.4  56.4  65.7  68.3  68.9  62.8  52.6  42.0  33.4
    2002  32.1  35.0  40.2  51.3  53.7  65.0  66.9  64.0  62.2  47.9  39.2  36.8
